,X,countrycode,country,currency_unit,year,rgdpe,rgdpo,pop,emp,avh,hc,ccon,cda,cgdpe,cgdpo,cn,ck,ctfp,cwtfp,rgdpna,rconna,rdana,rnna,rkna,rtfpna,rwtfpna,labsh,irr,delta,xr,pl_con,pl_da,pl_gdpo,i_cig,i_xm,i_xr,i_outlier,i_irr,cor_exp,statcap,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,pl_c,pl_i,pl_g,pl_x,pl_m,pl_n,pl_k,GINI,logGNI,avg_t,GINI_T_1,income_t_1,hc_t_1,workers_t_1
2911,2910,CRI,Costa Rica,Costa Rican Colon,1990,24934.066,26685.379,3.119433,1.0848573,2363.53946236309,2.2500193,23661.396,27161.566,24649.965,25622.744,50398.02,0.0012619226,0.7254588,0.75957066,28255.945,28025.355,31124.78,68949.734,0.27907333,0.85326695,0.9025965,0.57547796,0.14858057,0.04909626,91.5792916666667,0.2756597,0.29454792,0.28336528,Interpolated,Benchmark,Market-based,Regular,Regular,NA,NA,0.76596904,0.13660404,0.15748385,0.11972727,-0.19173427,0.011950106,0.2782048,0.42223346,0.263281,0.4744986,0.4645437,0.2776308,1.0644543,43.2,9.15887371898395,NA,NA,NA,NA,1.0848573
2912,2911,CRI,Costa Rica,Costa Rican Colon,1991,25668.793,27175.139,3.202085,1.1060933,2278.25879417218,2.2705388,23448.48,26533.555,25355.762,26289.379,52283.445,0.0012732022,0.7399391,0.74412555,28895.188,27757.906,30088.58,70778.65,0.28747252,0.86577326,0.8657502,0.57547796,0.14352192,0.049698457,122.432416666667,0.26289946,0.28273094,0.2726903,Interpolated,Benchmark,Market-based,Regular,Regular,NA,NA,0.73911464,0.11735057,0.15282278,0.124372326,-0.17187859,0.0382183,0.26906952,0.4334626,0.23305838,0.49777785,0.49452463,0.27020374,1.0084511,45,9.17494603437394,319.625,0.432,9.158874,0.56250475,1.1060933
2913,2912,CRI,Costa Rica,Costa Rican Colon,1992,28308.387,30036.975,3.28652,1.1573701,2364.5489356983,2.2912455,25503.463,29534.797,27980.29,28763.844,55269.906,0.0013301537,0.7275662,0.7424349,31552.553,30157.633,33741.78,74078.125,0.30461475,0.8750817,0.89865786,0.57547796,0.15470174,0.050136123,134.506333333333,0.2838909,0.30480713,0.29650387,Interpolated,Benchmark,Market-based,Regular,Regular,NA,NA,0.7406154,0.14015284,0.14603464,0.13317987,-0.21645,0.056467246,0.29176122,0.43712956,0.24397653,0.47868016,0.4479846,0.28896824,1.0986975,43.9,9.23919484371095,1098.87,0.45,9.174946,0.56763475,1.1573701
2914,2913,CRI,Costa Rica,Costa Rican Colon,1993,30609.607,32134.133,3.372298,1.1955327,2352.41834040734,2.312141,27730.91,32439.977,30229.402,30744.344,59021.28,0.0013904724,0.7415968,0.7719606,33788.848,32800.754,37090.85,78059.7,0.32495695,0.89284813,0.941203,0.57547796,0.15770456,0.051005673,142.171666666667,0.29593205,0.31549746,0.31021312,Interpolated,Benchmark,Market-based,Regular,Regular,NA,NA,0.7592268,0.15316854,0.14275737,0.13198829,-0.21854566,0.031404708,0.2997038,0.43071488,0.27587274,0.47850418,0.43736368,0.29887882,1.100434,44.4,9.28339098939879,1383.2275,0.439,9.239195,0.5728115,1.1955327
2915,2914,CRI,Costa Rica,Costa Rican Colon,1994,32438.764,33639.016,3.458834,1.2355871,2376.10670932388,2.3332272,29150.05,33944.695,31944.844,32417.604,63044.824,0.0014496167,0.7304622,0.7541729,35305.04,34339.207,38757.035,81944.734,0.3434923,0.88430977,0.93224597,0.57547796,0.15825115,0.05155043,157.066666666667,0.3051578,0.3265823,0.32181966,Interpolated,Benchmark,Market-based,Regular,Regular,NA,NA,0.7591644,0.1479025,0.14003994,0.14388569,-0.2054446,0.014452074,0.30528012,0.45683715,0.30449486,0.47603625,0.4541016,0.30517656,1.0694022,45.1,9.31481190720798,1409.82,0.444,9.283391,0.57803525,1.2355871
2916,2915,CRI,Costa Rica,Costa Rican Colon,1995,34188.137,34974.812,3.545534,1.266128,2350.71300978423,2.3545053,29950.363,34921.418,33728.824,33771.133,67127.945,0.0014855956,0.7334931,0.7492801,36760.137,34952.332,39733.246,85971.64,0.36210927,0.8886436,0.92239475,0.57547796,0.15842158,0.05164446,179.729166666667,0.32193765,0.34116575,0.34073833,Interpolated,Benchmark,Market-based,Regular,Regular,NA,NA,0.7533559,0.14719835,0.13350691,0.15864256,-0.20111915,0.008415446,0.3206025,0.45701423,0.32947162,0.5042902,0.47194558,0.31927094,1.0962557,44.5,9.3265087198367,1417.36667,0.451,9.314812,0.58330675,1.266128
2917,2916,CRI,Costa Rica,Costa Rican Colon,1996,34316.254,34393.36,3.632362,1.297572,2392.5721175028,2.3682761,30557.861,35198.906,33827.52,33174.855,70686.85,0.0014921858,0.6821334,0.71464133,37215.164,35480.508,39803.207,89160.84,0.37837464,0.85895365,0.8822265,0.57547796,0.15485431,0.05160304,207.689166666667,0.32755104,0.3434911,0.35024875,Interpolated,Benchmark,Market-based,Regular,Regular,NA,NA,0.78882694,0.13989645,0.13228816,0.1650891,-0.2527927,0.026691947,0.3244892,0.44844475,0.34580854,0.5075567,0.4246174,0.3145175,1.042215,45.4,9.32021191861701,1279.88857,0.445,9.326509,0.58862625,1.297572
2918,2917,CRI,Costa Rica,Costa Rican Colon,1997,36609.953,35942.797,3.718949,1.350194,2371.21228301147,2.3821273,31991.223,37553.31,35964.76,34659.06,75506.07,0.0015200102,0.6741377,0.7213457,39286.164,37199.723,42671.94,93461.87,0.40262496,0.86473835,0.9019858,0.57547796,0.16122207,0.051899653,232.5975,0.33018366,0.349014,0.36216235,Interpolated,Benchmark,Market-based,Regular,Regular,NA,NA,0.78357404,0.16048004,0.13945228,0.22783387,-0.3164007,0.005060482,0.33081678,0.45731995,0.32662615,0.49299622,0.41134706,0.3095092,1.0469154,44,9.34922750224957,1378.7775,0.454,9.320212,0.592069,1.350194
2919,2918,CRI,Costa Rica,Costa Rican Colon,1998,39644.78,39531.945,3.803887,1.3974457,2362.28365341526,2.3960598,33218.805,40311.047,38711.293,38501.145,82132.305,0.0016019773,0.6883347,0.7076171,42021.15,38780.395,46277.582,99629.99,0.43957534,0.87259614,0.92284393,0.57547796,0.16169107,0.05287811,257.229166666667,0.3333309,0.35171473,0.35363448,Interpolated,Benchmark,Market-based,Regular,Regular,NA,NA,0.7297992,0.18420863,0.13300122,0.2757205,-0.36115417,0.038424574,0.33224988,0.43782127,0.33926275,0.48525763,0.44855574,0.30781004,1.056046,45,9.38535032233615,1529.46778,0.44,9.349228,0.59553175,1.3974457
2920,2919,CRI,Costa Rica,Costa Rican Colon,1999,40858.75,39908.703,3.88543,1.4369131,2376.1733986911,2.4100735,33846.453,40936.504,39964.176,38814.43,88115.66,0.0016294584,0.65202355,0.6684923,43678.188,39387.906,46653.83,104879.24,0.46873724,0.8627481,0.8849504,0.57547796,0.15409918,0.053769812,285.684694833333,0.34115285,0.35520288,0.36572456,Interpolated,Benchmark,Market-based,Regular,Regular,NA,57.7777777777778,0.7330761,0.18266529,0.13893081,0.33838627,-0.34783638,-0.045222085,0.33885956,0.4222749,0.35325348,0.4783727,0.4434096,0.310274,1.0267469,46.4,9.38835637901235,1542.225,0.45,9.38535,0.599015,1.4369131
